Time (s),Heart Rate (BPM),Frame Rate (FPS)
11.79,82.7,35.14
13.09,86.8,35.14
14.55,90.2,35.14
15.85,82.7,35.14
17.19,85.9,35.14
18.48,88.6,35.14
19.81,57.9,35.14
21.11,62.0,35.14
22.44,58.4,35.14
23.74,62.0,35.14
25.08,65.3,35.14
26.37,62.0,35.14
27.71,66.1,35.14
29.00,66.1,35.14
30.36,66.1,35.14
31.65,66.1,35.14
32.99,60.1,35.14
34.29,60.1,35.14
35.62,60.1,35.14
36.91,60.1,35.14
38.25,60.1,35.14
39.54,60.1,35.14
40.87,84.1,35.14
42.16,84.1,35.14
43.49,84.1,35.14
44.79,84.1,35.14
46.12,84.1,35.14
47.41,84.1,35.14
48.76,84.1,35.14
50.05,84.1,35.14
51.38,84.1,35.14
52.67,84.1,35.14
54.00,84.1,35.14
55.30,84.1,35.14
56.64,84.1,35.14
57.93,84.1,35.14
59.26,84.1,35.14
60.55,60.1,35.14
61.90,60.1,35.14
63.19,60.1,35.14
64.52,60.1,35.14
65.81,60.1,35.14
67.14,66.1,35.14
68.43,72.1,35.14
69.77,66.1,35.14
71.06,66.1,35.14
72.39,66.1,35.14
73.69,78.1,35.14
75.02,78.1,35.14
76.32,78.1,35.14
77.65,78.1,35.14
78.93,78.1,35.14
80.25,84.1,35.14
81.53,84.1,35.14
82.87,84.1,35.14
84.16,84.1,35.14
85.49,84.1,35.14
86.77,84.1,35.14
88.08,84.1,35.14
89.37,84.1,35.14
90.71,84.1,35.14
91.98,84.1,35.14
93.30,84.1,35.14
94.58,84.1,35.14
95.90,84.1,35.14
97.17,84.1,35.14
98.51,72.1,35.14
99.81,54.1,35.14
101.14,54.1,35.14
102.45,54.1,35.14
103.79,54.1,35.14
105.08,54.1,35.14
106.41,54.1,35.14
107.69,54.1,35.14
109.03,54.1,35.14
110.32,78.1,35.14
111.64,78.1,35.14
112.92,78.1,35.14
114.26,78.1,35.14
115.55,78.1,35.14
116.90,72.1,35.14
118.19,72.1,35.14
119.52,72.1,35.14
120.80,72.1,35.14
122.14,72.1,35.14
123.42,72.1,35.14
124.76,72.1,35.14
126.05,72.1,35.14
127.37,72.1,35.14
128.66,72.1,35.14
129.98,72.1,35.14
131.26,72.1,35.14
132.59,72.1,35.14
133.88,78.1,35.14
135.22,78.1,35.14
136.51,66.1,35.14
137.84,66.1,35.14
139.12,66.1,35.14
140.44,66.1,35.14
141.72,120.1,35.14
143.04,120.1,35.14
144.32,120.1,35.14
145.64,54.1,35.14
146.92,54.1,35.14
148.32,54.1,35.14
149.65,54.1,35.14
151.00,54.1,35.14
152.30,60.1,35.14
153.66,60.1,35.14
154.97,60.1,35.14
156.32,60.1,35.14
157.61,60.1,35.14
158.98,60.1,35.14
160.30,60.1,35.14
161.64,60.1,35.14
162.94,60.1,35.14
164.38,60.1,35.14
165.74,60.1,35.14
167.09,60.1,35.14
168.38,60.1,35.14
169.73,54.1,35.14
171.03,54.1,35.14
172.40,54.1,35.14
173.73,54.1,35.14
175.08,54.1,35.14
176.37,54.1,35.14
177.72,54.1,35.14
179.03,54.1,35.14
180.36,54.1,35.14
181.65,54.1,35.14
182.99,54.1,35.14
184.28,54.1,35.14
185.63,60.1,35.14
186.91,60.1,35.14
188.26,60.1,35.14
189.55,60.1,35.14
190.88,60.1,35.14
192.17,60.1,35.14
193.50,60.1,35.14
194.79,60.1,35.14
196.12,60.1,35.14
197.43,60.1,35.14
198.80,120.1,35.14
200.08,120.1,35.14
201.41,120.1,35.14
202.70,90.1,35.14
204.03,90.1,35.14
205.31,90.1,35.14
206.68,90.1,35.14
207.97,90.1,35.14
209.30,90.1,35.14
210.62,84.1,35.14
211.95,96.1,35.14
213.23,54.1,35.14
214.57,54.1,35.14
215.85,54.1,35.14
217.17,54.1,35.14
218.46,54.1,35.14
219.78,54.1,35.14
221.08,54.1,35.14
222.41,54.1,35.14
223.72,54.1,35.14
225.04,54.1,35.14
226.32,54.1,35.14
227.68,54.1,35.14
228.99,54.1,35.14
230.31,54.1,35.14
231.60,54.1,35.14
232.92,54.1,35.14
234.20,54.1,35.14
235.53,54.1,35.14
236.83,54.1,35.14
238.15,54.1,35.14
239.45,54.1,35.14
240.78,78.1,35.14
242.07,78.1,35.14
243.39,78.1,35.14
244.68,78.1,35.14
246.00,78.1,35.14
247.27,66.1,35.14
248.61,66.1,35.14
249.88,66.1,35.14
251.19,66.1,35.14
252.46,66.1,35.14
253.79,66.1,35.14
255.07,54.1,35.14
256.42,54.1,35.14
257.70,54.1,35.14
259.06,60.1,35.14
260.34,60.1,35.14
261.71,60.1,35.14
262.98,60.1,35.14
264.30,60.1,35.14
265.58,60.1,35.14
266.96,78.1,35.14
268.28,78.1,35.14
269.67,78.1,35.14
270.98,54.1,35.14
272.31,54.1,35.14
273.59,54.1,35.14
